order id,item id,sku,portal name,vendor id,vendor payment amount,portal payment,difference,product id,vendor_name,vendor type,selling price,mrp,qty,reimbursment amount,mastr_product_mrp,upload selling price,order date
12237741253,#12682742629,DROOLS_8906043143723,6,892,25.51992250000001,106.85,81.33007749999999,214389,Abis Exports (India) Pvt Ltd,SOR order,169.15,199.0,1,0.0,249.0,249.0,2020-11-30
13352445882,#13825908826,PUREPET_8906043145420,6,892,576.8949715,562.32,-14.574971499999949,212797,Abis Exports (India) Pvt Ltd,SOR order,849.15,999.0,1,0.0,999.0,999.0,2021-04-22
12224621467,#12705303259,PUREPET_8906043142672,6,892,202.26828,464.79,262.52172,212800,Abis Exports (India) Pvt Ltd,SOR order,799.2,999.0,1,0.0,999.0,999.0,2020-11-23
12697474066,#13152817330,DROOLS_8906043143723,6,892,0.0,89.02,89.02,214389,Abis Exports (India) Pvt Ltd,SOR order,169.0,199.0,1,0.0,249.0,249.0,2021-02-05
12411319454,#12918359262,DROOLS_8906043140531,6,892,777.5032499999999,959.61,182.1067500000001,211991,Abis Exports (India) Pvt Ltd,SOR order,1455.0,1690.0,1,0.0,1690.0,1660.0,2020-12-22
12235833770,#12768011402,DROOLS_8906043143785,6,892,0.0,77.35,77.35,214393,Abis Exports (India) Pvt Ltd,SOR order,169.15,199.0,1,0.0,249.0,249.0,2020-11-18
12295065537,#12809486305,PUREPET_8906043142689,6,892,161.62784999999994,473.91,312.2821500000001,212801,Abis Exports (India) Pvt Ltd,SOR order,699.0,699.0,1,0.0,1199.0,1199.0,2020-12-01
12343156779,#12869175947,DROOLS_8906043142320,6,892,273.9278499999999,273.9,-0.0278499999999439,211992,Abis Exports (India) Pvt Ltd,SOR order,699.0,699.0,1,-62.0,3350.0,3106.0,2020-12-02
12231974809,#12684099321,DROOLS_8906043147837,6,892,175.50227999999993,363.08,187.57772000000008,213538,Abis Exports (India) Pvt Ltd,SOR order,559.2,699.0,1,0.0,699.0,699.0,2020-11-24
12372907913,#12861407817,DROOLS_8906043142009,6,892,1652.6461,1651.7,-0.9460999999998876,211980,Abis Exports (India) Pvt Ltd,SOR order,2254.0,2650.0,1,-42.0,2650.0,2650.0,2020-12-13
